case,problem,cores,candidates,fastest_time,fastest_added,fastest_spill,fastest_hit,fastest_name,min_copy_time,min_copy_added,min_copy_name,min_copy_time_penalty_pct,near2_time,near2_added,near2_saved_bytes,max_hit,max_hit_time,max_hit_added,max_hit_name,max_hit_time_penalty_pct,fastest_eligible,max_hit_eligible,fastest_ddr_proxy,max_hit_ddr_proxy
case_085,2,5,11,881711,38447480,0,,trace_r00_02_cross_release_dependency_tail,3187899,0,wcc_start0_simple_a1_per_core_lpt_mv,261.5582656902318,881711,38447480,0,,,,,,,,,
case_085,3,5,11,918123,38446456,0,0.24824764664535762,cache_reencode_control,3187899,0,wcc_start0_simple_a1_per_core_lpt_mv,247.2191634454207,930441,38442360,4096,0.32339381342679807,1602009,22974456,op_stable_id_w100,74.48740528229878,22043214,14172046,34664014,20081038
case_089,1,5,19,147432,954880,0,,wcc_start0_simple_a5_per_core_lpt_mv,178160,716160,wcc_start0_simple_a4_per_core_lpt_mv,20.842150957729654,147432,954880,0,,,,,,,,,
case_089,2,5,19,118946,954880,0,,wcc_protected_interleave_v2_w4_base_earliest_start,693092,0,wcc_start0_simple_a1_per_core_lpt_mv,482.6946681687488,118946,954880,0,,,,,,,,,
case_089,3,5,19,118946,954880,0,0.0,wcc_protected_interleave_v2_w4_base_earliest_start,693092,0,wcc_start0_simple_a1_per_core_lpt_mv,482.6946681687488,118946,954880,0,0.4077083643954078,325504,1928832,op_stable_id_w100,173.6569535755721,1357440,1716992,1521280,1795200
case_094,1,5,20,20730,408800,0,,observed_duration,24943,259200,wcc_start0_simple_a5_per_core_lpt_mv,20.32320308731308,20730,408800,0,,,,,,,,,
case_094,2,5,20,17755,259200,0,,wcc_unrestricted_interleave_w2_complement_earliest_start,94892,0,whole_graph_single_active,434.4522669670515,17755,259200,0,,,,,,,,,
case_094,3,5,20,16819,259200,0,0.16557886898243462,wcc_unrestricted_interleave_w2_complement_earliest_start,94892,0,whole_graph_single_active,464.1952553659552,16819,259200,0,0.38924365566428926,26911,300384,wcc_start0_affinity_a4_per_core_w75,60.00356739401867,730528,771712,664932,526692
case_095,1,2,19,1042860,73728,0,,stable_id_b4_p1_eft,1042890,0,wcc_start0_simple_a2_per_core_lpt_mv,0.002876704447385414,1042890,0,73728,,,,,,,,,
case_095,1,3,19,695775,0,0,,wcc_start0_simple_a3_per_core_lpt_mv,695775,0,wcc_start0_simple_a3_per_core_lpt_mv,0.0,695775,0,0,,,,,,,,,
case_095,1,4,19,524422,0,0,,wcc_start0_simple_a4_per_core_lpt_mv,524422,0,wcc_start0_simple_a4_per_core_lpt_mv,0.0,524422,0,0,,,,,,,,,
case_095,1,5,19,420852,0,0,,wcc_start0_simple_a5_per_core_lpt_mv,420852,0,wcc_start0_simple_a5_per_core_lpt_mv,0.0,420852,0,0,,,,,,,,,
case_095,2,2,19,539178,0,0,,wcc_protected_interleave_v2_w4_base_earliest_start,539178,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,539178,0,0,,,,,,,,,
case_095,2,3,19,361155,0,0,,wcc_protected_interleave_v2_w4_base_earliest_start,361155,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,361155,0,0,,,,,,,,,
case_095,2,4,19,273250,0,0,,wcc_protected_interleave_v2_w4_base_earliest_start,273250,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,273250,0,0,,,,,,,,,
case_095,2,5,19,220188,0,0,,wcc_protected_interleave_v2_w4_base_earliest_start,220188,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,220188,0,0,,,,,,,,,
case_095,3,2,19,539178,0,0,0.0,wcc_protected_interleave_v2_w4_base_earliest_start,539178,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,539178,0,0,0.001537447352938056,1895102,96107904,op_seeded_priority_w100,251.47984524591135,8516508,59943516,11355036,107370780
case_095,3,3,19,361155,0,0,0.0,wcc_protected_interleave_v2_w4_base_earliest_start,361155,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,361155,0,0,0.0025062099468878473,1820929,97045248,op_seeded_priority_w100,404.19598233445475,8516508,58836252,11355036,108252828
case_095,3,4,19,273250,0,0,0.0,wcc_protected_interleave_v2_w4_base_earliest_start,273250,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,273250,0,0,0.0018981284198389846,1811990,96324096,op_seeded_priority_w100,563.1253430924062,8516508,58263708,11355036,107568540
case_095,3,5,19,220188,0,0,0.0,wcc_protected_interleave_v2_w4_base_earliest_start,220188,0,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,220188,0,0,0.0028810197609528874,1803943,96209280,op_seeded_priority_w100,719.2739840499936,8516508,57579612,11355036,107398428
case_099,1,5,19,331480,8609792,2404352,,wcc_start1_affinity_a5_per_core_w15,333886,8478720,wcc_start1_affinity_a5_per_core_w75,0.7258356461928406,333886,8478720,131072,,,,,,,,,
case_099,2,5,19,327678,9375744,2310144,,wcc_unrestricted_interleave_w4_complement_memory_tie,1622999,5484544,whole_graph_single_active,395.3030108826348,332746,7729152,1646592,,,,,,,,,
case_099,3,5,20,322542,10719232,3653632,0.5396279626803686,wcc_protected_interleave_v2_reencode_control,1618902,5484544,whole_graph_single_active,401.9197499860483,325839,9375744,1343488,0.5697143193270721,323227,10522624,wcc_protected_interleave_v2_w2_base_earliest_start,0.21237544257801666,13252864,13056256,6101652,5618324
