case,problem,time,ops,copy,spill,root_replication,root_replication_ratio,memory_pressure,speedup,active
case_076,3,1225408,32528,42451538,21882880,16297984,0.38391975339032475,1.0,5.047390746592155,5
case_077,1,119429,4486,2542768,0,172032,0.06765540544792133,0.28125,4.14740138492326,5
case_077,2,110038,4486,2313392,0,172032,0.07436353199111953,0.365020751953125,4.501354077682255,5
case_077,3,110038,4486,2313392,0,172032,0.07436353199111953,0.365020751953125,4.501354077682255,5
case_078,1,619540,1024,17384448,0,6445440,0.37075896801555047,0.36474609375,3.706206217516222,4
case_078,2,488618,1024,16430208,0,8593920,0.5230560684320004,0.36767578125,4.699259953583372,5
case_078,3,459213,1024,16103040,0,8262144,0.5130797663049959,0.67529296875,5.000169855818542,5
case_079,1,6056359,18720,46436352,12214272,16625664,0.3580312251918497,1.0,5.12721438739018,5
case_079,2,6002829,18720,47777792,21800960,16625664,0.34797891036906853,1.0,5.172936127282653,5
case_079,3,6001928,18720,47777792,21800960,16625664,0.34797891036906853,1.0,5.173712680325389,5
case_080,1,95868,1098,4771840,0,1650688,0.3459227467811159,0.7734375,3.047294196186423,4
case_080,2,79721,1098,4087808,204800,1904640,0.46593186372745493,1.0,3.6645049610516676,5
case_080,3,75051,1098,4087808,204800,1904640,0.46593186372745493,1.0,3.892526415370881,5
case_081,1,30943,3485,1741140,0,0,0.0,0.109405517578125,4.905632937982743,5
case_081,2,30943,3485,1741140,0,0,0.0,0.109405517578125,4.905632937982743,5
case_081,3,30943,3485,1741140,0,0,0.0,0.109405517578125,4.905632937982743,5
case_082,1,386894,4113,3281242,98304,557588,0.1699319952627694,1.0,1.8636655001111415,5
case_082,2,206067,4113,8854972,0,706070,0.07973712395702663,0.282257080078125,3.4990609850194354,5
case_082,3,195762,4113,8854972,0,706070,0.07973712395702663,0.282257080078125,3.6832531339075,5
case_083,1,412888,3844,18891584,9079680,3721600,0.19699777424698744,1.0,2.562421286159927,5
case_083,2,184594,3844,5159904,0,3721600,0.7212537287515427,0.4267578125,5.73145931070349,5
case_083,3,184594,3844,5159904,0,3721600,0.7212537287515427,0.4267578125,5.73145931070349,5
case_084,1,503472,8616,13236330,0,0,0.0,0.071044921875,4.98024120507198,5
case_084,2,503472,8616,13236330,0,0,0.0,0.071044921875,4.98024120507198,5
case_084,3,503472,8616,13236330,0,0,0.0,0.071044921875,4.98024120507198,5
case_085,1,873645,19737,25087990,0,2314776,0.09226629953216658,0.1875,3.648963823978847,5
case_085,2,869620,19737,40415998,0,2278936,0.05638697824559473,0.501007080078125,3.66585290126722,5
case_085,3,815053,19737,40415998,0,2278936,0.05638697824559473,0.516143798828125,3.9112781622790176,5
case_086,1,58819,5274,2952508,0,415894,0.1408612610025104,0.1787261962890625,2.0130060014621125,5
case_086,2,44890,5274,2135256,0,393522,0.18429733952275512,0.416412353515625,2.6376253063042996,4
case_086,3,40127,5274,2453724,0,422038,0.1719989697292768,0.2347564697265625,2.9507065068407807,5
case_087,1,879179,27556,20463526,3299328,6981120,0.3411494187267629,0.9931640625,4.52020692031998,5
