size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
1024,16777216,vector_only,16,12,777.9200077056885,900.044,True
1024,16777216,parallel,16,13,951.69997215271,1066.585,True
1024,16777216,serial,16,13,972.540020942688,1093.375,True
1024,16777216,matrix_only,16,13,309.32000279426575,428.952,True
1024,16777216,vector_only,16,13,754.859983921051,859.213,True
1024,16777216,serial,16,14,985.3000044822693,1115.395,True
1024,16777216,parallel,16,14,983.3800196647644,1107.095,True
1024,16777216,vector_only,16,14,771.6599702835083,873.414,True
1024,16777216,matrix_only,16,14,316.37999415397644,420.612,True
1024,16777216,serial,16,15,970.3999757766724,1075.275,True
1024,16777216,matrix_only,16,15,314.4400119781494,411.812,True
1024,16777216,parallel,16,15,963.699996471405,1067.925,True
1024,16777216,vector_only,16,15,763.5599970817566,870.434,True
1024,16777216,matrix_only,16,16,322.7199912071228,399.682,True
1024,16777216,parallel,16,16,963.4000062942505,1048.035,True
1024,16777216,vector_only,16,16,771.3599801063538,901.644,True
1024,16777216,serial,16,16,968.7399864196777,1078.425,True
1024,16777216,vector_only,16,17,760.0200176239014,864.524,True
1024,16777216,parallel,16,17,964.8200273513794,1097.915,True
1024,16777216,matrix_only,16,17,304.3400049209595,401.222,True
1024,16777216,serial,16,17,974.4600057601929,1084.014,True
1024,16777216,vector_only,16,18,759.8999738693237,863.984,True
1024,16777216,matrix_only,16,18,309.79999899864197,422.971,True
1024,16777216,serial,16,18,967.7600264549255,1074.425,True
1024,16777216,parallel,16,18,959.8399996757507,1059.815,True
1024,16777216,matrix_only,16,19,305.4800033569336,401.581,True
1024,16777216,vector_only,16,19,753.6200284957886,847.254,True
1024,16777216,serial,16,19,982.3200106620789,1080.915,True
1024,16777216,parallel,16,19,957.360029220581,1069.245,True
1024,16777216,matrix_only,16,20,321.48000597953796,408.282,True
1024,16777216,vector_only,16,20,761.6000175476074,839.634,True
1024,16777216,parallel,16,20,958.9999914169312,1070.355,True
1024,16777216,serial,16,20,986.9199991226196,1069.585,True
1024,16777216,serial,16,21,959.2199921607971,1071.465,True
