case,problem,cores,mode,makespan,added_copy,byte_hit_rate,time_ratio,copy_saved_vs_fastest,plan,plan_sha256
case_035,2,5,min_copy_within_1pct_time,80677,0,,1.0,0,p2/case_035/min_copy_within_1pct_time.json,f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481
case_035,2,5,min_copy_within_3pct_time,80677,0,,1.0,0,p2/case_035/min_copy_within_3pct_time.json,f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481
case_035,2,5,time_first,80677,0,,1.0,0,p2/case_035/time_first.json,f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481
case_036,2,5,min_copy_within_1pct_time,187182,4608,,1.0,0,p2/case_036/min_copy_within_1pct_time.json,a8ec22794d86949a719bf8210c3210fda5bfb9c3340186eb2d8fe2ac97ccdf9a
case_036,2,5,min_copy_within_3pct_time,187182,4608,,1.0,0,p2/case_036/min_copy_within_3pct_time.json,a8ec22794d86949a719bf8210c3210fda5bfb9c3340186eb2d8fe2ac97ccdf9a
case_036,2,5,time_first,187182,4608,,1.0,0,p2/case_036/time_first.json,a8ec22794d86949a719bf8210c3210fda5bfb9c3340186eb2d8fe2ac97ccdf9a
case_037,2,5,min_copy_within_1pct_time,43013,778240,,1.0,0,p2/case_037/min_copy_within_1pct_time.json,4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629
case_037,2,5,min_copy_within_3pct_time,43013,778240,,1.0,0,p2/case_037/min_copy_within_3pct_time.json,4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629
case_037,2,5,time_first,43013,778240,,1.0,0,p2/case_037/time_first.json,4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629
case_038,2,5,min_copy_within_1pct_time,270964,8558592,,1.00422869807244,84480,p2/case_038/min_copy_within_1pct_time.json,06aff0b41fc01f0c9f0ffae59c2e86eb5eaf82b99f2d5ec8a0da4e987ef4333c
case_038,2,5,min_copy_within_3pct_time,270964,8558592,,1.00422869807244,84480,p2/case_038/min_copy_within_3pct_time.json,06aff0b41fc01f0c9f0ffae59c2e86eb5eaf82b99f2d5ec8a0da4e987ef4333c
case_038,2,5,time_first,269823,8643072,,1.0,0,p2/case_038/time_first.json,fd3719750c5e6bb22a480b75d8ecb98278575a9828be3e2fbd032c581a55122c
case_039,2,5,min_copy_within_1pct_time,308167,10448896,,1.0,0,p2/case_039/min_copy_within_1pct_time.json,67e1e61de5fcb983ea1ed7e6206c7aecc963b2906b64bb43510e782cba445622
case_039,2,5,min_copy_within_3pct_time,308167,10448896,,1.0,0,p2/case_039/min_copy_within_3pct_time.json,67e1e61de5fcb983ea1ed7e6206c7aecc963b2906b64bb43510e782cba445622
case_039,2,5,time_first,308167,10448896,,1.0,0,p2/case_039/time_first.json,67e1e61de5fcb983ea1ed7e6206c7aecc963b2906b64bb43510e782cba445622
case_040,2,5,min_copy_within_1pct_time,100854,66048,,1.0,0,p2/case_040/min_copy_within_1pct_time.json,bf007604e2ed7cb803d469f4b07cb06b81321496d00087e5c48cedcfada338b8
case_040,2,5,min_copy_within_3pct_time,100854,66048,,1.0,0,p2/case_040/min_copy_within_3pct_time.json,bf007604e2ed7cb803d469f4b07cb06b81321496d00087e5c48cedcfada338b8
