case,problem,cores,method,call,phase,status,best_makespan
case_074,3,5,baseline,2,component,success,340313
case_074,3,5,baseline,3,wcc,success,338899
case_074,3,5,baseline,4,wcc,success,338899
case_074,3,5,baseline,5,wcc_probe,success,326680
case_074,3,5,baseline,6,operation,success,326680
case_074,3,5,baseline,7,operation,success,326680
case_074,3,5,baseline,8,trace,success,326680
case_074,3,5,baseline,9,trace,success,326680
case_074,3,5,baseline,10,p3_cache,success,326680
case_074,3,5,baseline,11,p3_cache,success,326680
case_074,3,5,baseline,12,p3_cache,success,326680
case_074,3,5,wide_legacy,1,component,success,340313
case_074,3,5,wide_legacy,2,component,success,340313
case_074,3,5,wide_legacy,3,wcc,success,338899
case_074,3,5,wide_legacy,4,wcc,success,338899
case_074,3,5,wide_legacy,5,wcc_probe,success,326680
case_074,3,5,wide_legacy,6,operation,success,326680
case_074,3,5,wide_legacy,7,legacy,success,326680
case_074,3,5,wide_legacy,8,legacy,success,326680
case_074,3,5,wide_legacy,9,structure,success,326680
case_074,3,5,wide_legacy,10,structure_pair,success,326680
case_074,3,5,wide_legacy,11,legacy,success,326680
case_074,3,5,wide_legacy,12,legacy,success,326680
case_009,3,5,wide_legacy,1,component,success,92225
case_009,3,5,wide_legacy,2,component,success,92225
case_009,3,5,wide_legacy,3,wcc,success,87425
case_009,3,5,wide_legacy,4,wcc,success,87425
case_009,3,5,wide_legacy,5,operation,success,87425
case_009,3,5,wide_legacy,6,operation,success,74767
case_009,3,5,wide_legacy,7,legacy,success,74732
case_009,3,5,wide_legacy,8,legacy,success,74732
case_009,3,5,wide_legacy,9,structure,success,74732
case_009,3,5,wide_legacy,10,structure_pair,success,74732
case_009,3,5,wide_legacy,11,legacy,success,74732
case_009,3,5,wide_legacy,12,legacy,success,72906
case_029,2,5,local_legacy,1,component,success,9383
case_029,2,5,local_legacy,2,component,success,9383
case_029,2,5,local_legacy,3,operation,success,9383
