batch,case,problem,num_cores,seed,stage,round,before_time,after_time,evaluations,generation_seconds
full_p2_seed17,case_012,2,2,17,component,0,,29674,4,0.05002020800020546
full_p2_seed17,case_012,2,2,17,operation,0,29674,29674,8,0.04977220797445625
full_p2_seed17,case_012,2,2,17,trace,0,29674,27385,12,0.0261179159861058
full_p2_seed17,case_012,2,3,17,component,0,,19788,4,0.10179437499027699
full_p2_seed17,case_012,2,3,17,operation,0,19788,19788,8,0.07409641705453396
full_p2_seed17,case_012,2,3,17,trace,0,19788,18265,12,0.0209667079616338
full_p2_seed17,case_012,2,4,17,component,0,,16118,4,0.12644341704435647
full_p2_seed17,case_012,2,4,17,operation,0,16118,16118,8,0.08224829100072384
full_p2_seed17,case_012,2,4,17,trace,0,16118,16118,12,0.027103458996862173
full_p2_seed17,case_012,2,5,17,component,0,,12869,4,0.14904320891946554
full_p2_seed17,case_012,2,5,17,operation,0,12869,12869,8,0.09485608292743564
full_p2_seed17,case_012,2,5,17,trace,0,12869,12756,12,0.02232691692188382
full_p2_seed17,case_013,2,2,17,component,0,,132198,4,0.05590174999088049
full_p2_seed17,case_013,2,2,17,operation,0,132198,132198,6,0.11447091598529369
full_p2_seed17,case_013,2,2,17,trace,0,132198,132198,2,0.025200083968229592
full_p2_seed17,case_013,2,3,17,component,0,,88351,4,0.09441512497141957
full_p2_seed17,case_013,2,3,17,operation,0,88351,88351,8,0.14559891691897064
full_p2_seed17,case_013,2,3,17,trace,0,88351,88351,2,0.031202250043861568
full_p2_seed17,case_013,2,4,17,component,0,,66982,4,0.1558096669614315
full_p2_seed17,case_013,2,4,17,operation,0,66982,66982,7,0.18013020907528698
full_p2_seed17,case_013,2,4,17,trace,0,66982,66982,2,0.027437167009338737
full_p2_seed17,case_013,2,5,17,component,0,,54363,4,0.1974215409718454
full_p2_seed17,case_013,2,5,17,operation,0,54363,54363,8,0.19709012506064028
full_p2_seed17,case_013,2,5,17,trace,0,54363,54130,12,0.04411608399823308
full_p2_seed17,case_015,2,2,17,component,0,,86611,4,0.05669445905368775
full_p2_seed17,case_015,2,2,17,operation,0,86611,86611,8,0.06243199994787574
full_p2_seed17,case_015,2,2,17,trace,0,86611,83527,12,0.0313765408936888
full_p2_seed17,case_015,2,3,17,component,0,,60954,4,0.08472416689619422
full_p2_seed17,case_015,2,3,17,operation,0,60954,60954,8,0.08364391699433327
full_p2_seed17,case_015,2,3,17,trace,0,60954,58605,12,0.03006991697475314
full_p2_seed17,case_015,2,4,17,component,0,,50124,4,0.13718320906627923
full_p2_seed17,case_015,2,4,17,operation,0,50124,50124,8,0.10400083300191909
full_p2_seed17,case_015,2,4,17,trace,0,50124,50124,12,0.03383679105900228
full_p2_seed17,case_015,2,5,17,component,0,,43242,4,0.19225829106289893
full_p2_seed17,case_015,2,5,17,operation,0,43242,43242,8,0.13964437507092953
full_p2_seed17,case_015,2,5,17,trace,0,43242,43242,12,0.03484375006519258
full_p2_seed17,case_016,2,2,17,component,0,,7715523,1,0.040644624968990684
full_p2_seed17,case_016,2,2,17,operation,0,7715523,4027038,8,1.1761865000007674
full_p2_seed17,case_016,2,2,17,trace,0,4027038,4027025,11,0.8473527079913765
full_p2_seed17,case_016,2,2,17,trace,1,4027025,4027025,1,0.35046591702848673
full_p2_seed17,case_016,2,3,17,component,0,,7715523,1,0.042498250026255846
full_p2_seed17,case_016,2,3,17,operation,0,7715523,2877801,8,1.6945455831009895
full_p2_seed17,case_016,2,3,17,trace,0,2877801,2877801,11,1.012768040993251
full_p2_seed17,case_017,2,2,17,component,0,,77520,4,0.08621054200921208
full_p2_seed17,case_017,2,2,17,operation,0,77520,77520,8,0.10905541700776666
full_p2_seed17,case_017,2,2,17,trace,0,77520,77520,12,0.052370833000168204
full_p2_seed17,case_017,2,3,17,component,0,,56670,4,0.15464204200543463
full_p2_seed17,case_017,2,3,17,operation,0,56670,56670,8,0.14780879102181643
full_p2_seed17,case_017,2,3,17,trace,0,56670,51954,12,0.04981212492566556
full_p2_seed17,case_017,2,4,17,component,0,,38150,4,0.20389983395580202
full_p2_seed17,case_017,2,4,17,operation,0,38150,38150,8,0.16809637506958097
full_p2_seed17,case_017,2,4,17,trace,0,38150,37645,12,0.0508644999936223
full_p2_seed17,case_017,2,5,17,component,0,,35496,4,0.29258716700132936
full_p2_seed17,case_017,2,5,17,operation,0,35496,35496,8,0.19431745808105916
full_p2_seed17,case_017,2,5,17,trace,0,35496,32681,12,0.05057291605044156
full_p2_seed17,case_018,2,2,17,component,0,,504468,4,0.1532774999504909
full_p2_seed17,case_018,2,2,17,operation,0,504468,504468,8,0.23837083391845226
full_p2_seed17,case_018,2,2,17,trace,0,504468,504468,2,0.07335779094137251
full_p2_seed17,case_018,2,3,17,component,0,,339838,4,0.35851695796009153
full_p2_seed17,case_018,2,3,17,operation,0,339838,339838,8,0.34342099993955344
full_p2_seed17,case_018,2,3,17,trace,0,339838,339838,2,0.07229916693177074
full_p2_seed17,case_018,2,4,17,component,0,,254758,4,0.5563742909580469
full_p2_seed17,case_018,2,4,17,operation,0,254758,254758,8,0.40419949998613447
full_p2_seed17,case_018,2,4,17,trace,0,254758,254221,12,0.11500579200219363
full_p2_seed17,case_018,2,5,17,component,0,,205917,4,0.7831346250604838
full_p2_seed17,case_018,2,5,17,operation,0,205917,205917,8,0.46622129098977894
full_p2_seed17,case_018,2,5,17,trace,0,205917,205917,12,0.12312899995595217
full_p2_seed17,case_019,2,2,17,component,0,,41102,4,0.046826416975818574
full_p2_seed17,case_019,2,2,17,operation,0,41102,34178,8,0.05598441697657108
full_p2_seed17,case_019,2,2,17,trace,0,34178,32238,12,0.04532395792193711
full_p2_seed17,case_019,2,3,17,component,0,,28986,4,0.07670295797288418
full_p2_seed17,case_019,2,3,17,operation,0,28986,26368,8,0.07987100002355874
full_p2_seed17,case_019,2,3,17,trace,0,26368,24938,12,0.048999125021509826
full_p2_seed17,case_019,2,4,17,component,0,,24099,4,0.10088724992237985
full_p2_seed17,case_019,2,4,17,operation,0,24099,24099,8,0.08773241599556059
full_p2_seed17,case_019,2,4,17,trace,0,24099,22443,12,0.027587166987359524
full_p2_seed17,case_019,2,5,17,component,0,,24169,4,0.13287424994632602
full_p2_seed17,case_019,2,5,17,operation,0,24169,18233,8,0.10056008293759078
full_p2_seed17,case_019,2,5,17,trace,0,18233,17853,12,0.04341779206879437
full_p2_seed17,case_020,2,2,17,component,0,,266580,4,0.1386661659926176
full_p2_seed17,case_020,2,2,17,operation,0,266580,266580,8,0.6621150419814512
full_p2_seed17,case_020,2,2,17,trace,0,266580,266580,2,0.1609331249492243
full_p2_seed17,case_020,2,3,17,component,0,,177950,4,0.19405858300160617
full_p2_seed17,case_020,2,3,17,operation,0,177950,177950,8,0.9094495000317693
full_p2_seed17,case_020,2,3,17,trace,0,177950,177950,2,0.16422579204663634
full_p2_seed17,case_020,2,4,17,component,0,,133704,4,0.2797236670739949
full_p2_seed17,case_020,2,4,17,operation,0,133704,133704,8,1.0061331250471994
full_p2_seed17,case_020,2,4,17,trace,0,133704,133704,2,0.16299437498673797
full_p2_seed17,case_020,2,5,17,component,0,,107187,4,0.4453675829572603
full_p2_seed17,case_020,2,5,17,operation,0,107187,107187,8,1.336019332986325
full_p2_seed17,case_020,2,5,17,trace,0,107187,107187,2,0.1950751249678433
full_p3_seed17,case_001,3,2,17,component,0,,116868,4,0.0404225829988718
full_p3_seed17,case_001,3,2,17,operation,0,116868,116868,5,0.05093895795289427
full_p3_seed17,case_001,3,2,17,trace,0,116868,116868,0,0.01671191700734198
full_p3_seed17,case_001,3,2,17,cache,0,116868,116868,3,0.016597709036432207
full_p3_seed17,case_001,3,3,17,component,0,,78545,4,0.07113933388609439
full_p3_seed17,case_001,3,3,17,operation,0,78545,78545,5,0.05885308398865163
full_p3_seed17,case_001,3,3,17,trace,0,78545,78545,1,0.015176500077359378
