case,problem,cores,valid,cold_makespan,archive_makespan,cold_speedup,archive_speedup,outcome,trained_graph,calls,seconds,failures,best_name
case_061,2,5,True,21254,21715,3.631834007716195,3.554731752244992,win,False,8,2.83460224699229,0,v2_p2_wavefront_s2_residency
case_061,3,5,True,20986,21715,3.6782140474602114,3.554731752244992,win,False,8,3.0699717570096254,0,v2_p3_wavefront_s2_residency
case_062,1,5,True,2300291,789139,1.2410642827364016,3.6176250318384975,loss,False,3,118.49570184999902,2,selective_local_quantile_stable_id_x2_a5_eft
case_062,2,5,True,644927,690843,4.426561455792671,4.132355687182182,win,False,8,82.21870602099807,0,v2_p2_branch_s2_residency
case_062,3,5,True,644927,690843,4.426561455792671,4.132355687182182,win,False,8,81.75688050399185,0,v2_p3_branch_s2_residency
case_063,1,5,True,299345,252654,3.5757971571263925,4.2366121256738465,loss,False,8,116.03260806899925,0,v2_p1_affinity_s2_critical
case_063,2,5,True,240152,206194,4.457164629068257,5.191213129383009,loss,False,8,32.93311203799385,0,v2_p2_branch_s2_residency
case_063,3,5,True,240152,206181,4.457164629068257,5.191540442620804,loss,False,8,35.64771217200905,0,v2_p3_branch_s2_residency
case_064,1,5,True,16469,16370,1.160726212884814,1.1677458766035431,loss,True,8,2.599524654011475,0,selective_phase_band_critical_path_x2_a5_eft
case_064,2,5,True,8945,8559,2.1370598099496925,2.2334384858044163,loss,True,8,2.4697374339884846,0,op_stable_id_w100
case_064,3,5,True,8867,8516,2.1558588023006653,2.2447158290277125,loss,True,8,2.7358436240028823,0,op_stable_id_w100
case_065,1,5,True,11994,11994,4.424545606136402,4.424545606136402,tie,False,8,2.4134362819895614,0,wcc_task_5_mv_complement_batch2
case_065,2,5,True,11679,9869,4.543882181693638,5.377241868477049,loss,False,8,2.3717185849964153,0,v2_p2_component_residency
case_065,3,5,True,11679,9869,4.543882181693638,5.377241868477049,loss,False,8,2.6188525019970257,0,v2_p3_component_residency
case_066,1,5,True,187146,199028,1.9186624346766696,1.8041180135458328,win,False,8,28.55100784401293,0,joint_g0_reallocate_branch
case_066,2,5,True,115031,114172,3.1215063765419755,3.144991766807974,loss,False,8,13.861421815003268,0,op_stable_id_w200
case_066,3,5,True,110300,106776,3.255394378966455,3.3628343447965836,loss,False,8,16.238442990012118,0,op_stable_id_w200
case_067,1,5,True,13604111,15233731,4.692319402568827,4.190361113767862,win,False,7,86.73865993900108,0,joint_task_g1_merge16
case_067,2,5,True,12076106,12057191,5.286044524617456,5.294337130431126,loss,False,8,55.76068135999958,0,op_release_priority_w200
case_067,3,5,True,12052458,12007191,5.296416216509528,5.316383657093486,loss,False,8,63.58864449900284,0,op_critical_path_w200
case_068,1,5,True,210185,268666,1.7227442491138758,1.347751483254301,win,False,8,20.155461611997453,0,joint_g0_reallocate_branch
case_068,2,5,True,149221,134477,2.4265686465041783,2.6926165812741214,loss,False,8,13.102251848991727,0,op_stable_id_w200
case_068,3,5,True,142864,123937,2.534543341919588,2.9216053317411266,loss,False,8,15.687221658998169,0,op_stable_id_w200
case_069,1,5,True,16908,16521,1.487106695055595,1.5219417710792325,loss,False,8,3.803619095997419,0,selective_phase_band_critical_path_x2_a5_eft
case_069,2,5,True,11695,10453,2.149978623343309,2.4054338467425618,loss,False,8,3.363734894999652,0,op_stable_id_w200
case_069,3,5,True,10414,9390,2.4144420971768774,2.6777422790202343,loss,False,8,3.663369978996343,0,op_stable_id_w200
case_070,1,5,True,26669,26669,4.3983651430499835,4.3983651430499835,tie,False,5,2.2642573560005985,0,wcc_start0_simple_a5_per_core_lpt_mv
case_070,2,5,True,26669,26669,4.3983651430499835,4.3983651430499835,tie,False,8,2.800948206000612,0,joint_g0_reallocate_affinity
case_070,3,5,True,26634,26655,4.404145077720207,4.400675295441756,win,False,8,3.154380416002823,0,v2_p3_component_cache_window
case_071,1,5,True,11832,11491,1.598968897903989,1.6464189365590463,loss,True,8,2.7418383399926824,0,joint_task_g1_merge16
case_071,2,5,True,9374,8852,2.018241945807553,2.137257117035698,loss,True,8,2.4327901670039864,0,op_stable_id_w200
case_071,3,5,True,8129,7494,2.327346537089433,2.5245529757139042,loss,True,8,2.825828310989891,0,op_stable_id_w200
case_072,1,5,True,4777878,4714200,5.001766055977152,5.069328412031734,loss,False,3,115.86514446699584,1,v2_p1_component_critical
case_072,2,5,True,4833329,4806756,4.944382639791332,4.971716475727081,loss,False,5,95.21741014999861,0,wcc_start0_simple_a5_per_core_lpt_mv
